2024-09-16 17:26:52 [main] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source springCloudClientHostInfo refreshed
2024-09-16 17:26:52 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2024-09-16 17:26:52 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2024-09-16 17:26:52 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletContextInitParams [org.springframework.web.context.support.ServletContextPropertySource] to EncryptableEnumerablePropertySourceWrapper
2024-09-16 17:26:52 [main] INFO  c.m.api.config.server.ConfigServer - Started ConfigServer in 8.527 seconds (process running for 8.783)
2024-09-16 17:27:42 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-09-16 17:27:42 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-09-16 17:27:42 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-09-16 17:32:07 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/config-client-twitter_to_kafka.yml]' via location 'file:/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/'
2024-09-16 17:32:07 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/config-client.yml]' via location 'file:/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/'
2024-09-16 17:32:12 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/config-client-twitter_to_kafka.yml]' via location 'file:/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/'
2024-09-16 17:32:12 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/config-client.yml]' via location 'file:/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/'
2024-09-16 17:32:19 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/config-client-twitter_to_kafka.yml]' via location 'file:/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/'
2024-09-16 17:32:19 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/config-client.yml]' via location 'file:/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/'
2024-09-16 17:32:25 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/config-client-twitter_to_kafka.yml]' via location 'file:/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/'
2024-09-16 17:32:25 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/config-client.yml]' via location 'file:/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/'
2024-09-16 17:42:38 [http-nio-8888-exec-4] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/config-client-twitter_to_kafka.yml]' via location 'file:/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/'
2024-09-16 17:42:38 [http-nio-8888-exec-4] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/config-client.yml]' via location 'file:/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/'
2024-09-16 18:32:36 [http-nio-8888-exec-8] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/config-client-twitter_to_kafka.yml]' via location 'file:/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/'
2024-09-16 18:32:36 [http-nio-8888-exec-8] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/config-client.yml]' via location 'file:/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/'
2024-09-16 20:06:32 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/config-client-twitter_to_kafka.yml]' via location 'file:/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/'
2024-09-16 20:06:32 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/config-client.yml]' via location 'file:/var/folders/qr/rrc8wgtj1jz1vy07k3n694tm0000gn/T/config-repo-11331837888763799756/'
2024-09-16 20:11:48 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-09-16 20:11:48 [main] INFO  c.m.api.config.server.ConfigServer - Starting ConfigServer using Java 21.0.2 with PID 52440 (/Users/amanbhardwaj/Desktop/microservices-api/config-server/target/classes started by amanbhardwaj in /Users/amanbhardwaj/Desktop/microservices-api/config-server)
2024-09-16 20:11:48 [main] INFO  c.m.api.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2024-09-16 20:11:49 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=0737c797-966a-322b-b690-b8da4511957e
2024-09-16 20:11:49 [main] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor - Post-processing PropertySource instances
2024-09-16 20:11:49 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2024-09-16 20:11:49 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2024-09-16 20:11:49 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource servletContextInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2024-09-16 20:11:49 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
2024-09-16 20:11:49 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper
2024-09-16 20:11:49 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
2024-09-16 20:11:49 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource cachedrandom [org.springframework.cloud.util.random.CachedRandomPropertySource] to EncryptablePropertySourceWrapper
2024-09-16 20:11:49 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource configServerClient [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2024-09-16 20:11:49 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
2024-09-16 20:11:49 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource springCloudClientHostInfo [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2024-09-16 20:11:49 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8888 (http)
2024-09-16 20:11:49 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2024-09-16 20:11:49 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-09-16 20:11:49 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-16 20:11:49 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-09-16 20:11:49 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 542 ms
2024-09-16 20:11:49 [main] INFO  c.u.j.f.DefaultLazyPropertyFilter - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
2024-09-16 20:11:49 [main] INFO  c.u.j.r.DefaultLazyPropertyResolver - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
2024-09-16 20:11:49 [main] INFO  c.u.j.d.DefaultLazyPropertyDetector - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
2024-09-16 20:11:49 [main] INFO  c.u.j.encryptor.DefaultLazyEncryptor - String Encryptor custom Bean not found with name 'jasyptStringEncryptor'. Initializing Default String Encryptor
2024-09-16 20:11:49 [main] INFO  c.u.j.c.StringEncryptorBuilder - Encryptor config not found for property jasypt.encryptor.algorithm, using default value: PBEWITHHMACSHA512ANDAES_256
2024-09-16 20:11:49 [main] INFO  c.u.j.c.StringEncryptorBuilder - Encryptor config not found for property jasypt.encryptor.key-obtention-iterations, using default value: 1000
2024-09-16 20:11:49 [main] INFO  c.u.j.c.StringEncryptorBuilder - Encryptor config not found for property jasypt.encryptor.pool-size, using default value: 1
2024-09-16 20:11:49 [main] INFO  c.u.j.c.StringEncryptorBuilder - Encryptor config not found for property jasypt.encryptor.provider-name, using default value: null
2024-09-16 20:11:49 [main] INFO  c.u.j.c.StringEncryptorBuilder - Encryptor config not found for property jasypt.encryptor.provider-class-name, using default value: null
2024-09-16 20:11:49 [main] INFO  c.u.j.c.StringEncryptorBuilder - Encryptor config not found for property jasypt.encryptor.salt-generator-classname, using default value: org.jasypt.salt.RandomSaltGenerator
2024-09-16 20:11:49 [main] INFO  c.u.j.c.StringEncryptorBuilder - Encryptor config not found for property jasypt.encryptor.iv-generator-classname, using default value: org.jasypt.iv.RandomIvGenerator
2024-09-16 20:11:49 [main] INFO  c.u.j.c.StringEncryptorBuilder - Encryptor config not found for property jasypt.encryptor.string-output-type, using default value: base64
2024-09-16 20:11:49 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2024-09-16 20:11:49 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Deferred [Mvc [pattern='/actuator/**'], Ant [pattern='/actuator/**']]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-09-16 20:11:49 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Deferred [Mvc [pattern='/encrypt/**'], Ant [pattern='/encrypt/**']]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-09-16 20:11:49 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Deferred [Mvc [pattern='/decrypt/**'], Ant [pattern='/decrypt/**']]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-09-16 20:11:56 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2024-09-16 20:11:56 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8888 (http) with context path '/'
2024-09-16 20:11:56 [main] INFO  c.u.j.c.RefreshScopeRefreshedEventListener - Refreshing cached encryptable property sources on ServletWebServerInitializedEvent
2024-09-16 20:11:56 [main] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source systemProperties refreshed
2024-09-16 20:11:56 [main] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source systemEnvironment refreshed
2024-09-16 20:11:56 [main] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source random refreshed
2024-09-16 20:11:56 [main] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source cachedrandom refreshed
2024-09-16 20:11:56 [main] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source configServerClient refreshed
2024-09-16 20:11:56 [main] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' refreshed
2024-09-16 20:11:56 [main] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source springCloudClientHostInfo refreshed
2024-09-16 20:11:56 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2024-09-16 20:11:56 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2024-09-16 20:11:56 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletContextInitParams [org.springframework.web.context.support.ServletContextPropertySource] to EncryptableEnumerablePropertySourceWrapper
2024-09-16 20:11:56 [main] INFO  c.m.api.config.server.ConfigServer - Started ConfigServer in 7.997 seconds (process running for 8.236)
